"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2020 by Ecosystem/Croptype, Geolocation, Year and Period"

"Ecosystem/Croptype";"Geolocation";"1987 Annual";"1988 Annual";"1989 Annual";"1990 Annual";"1991 Annual";"1992 Annual";"1993 Annual";"1994 Annual";"1995 Annual";"1996 Annual";"1997 Annual";"1998 Annual";"1999 Annual";"2000 Annual";"2001 Annual";"2002 Annual";"2003 Annual";"2004 Annual";"2005 Annual";"2006 Annual";"2007 Annual";"2008 Annual";"2009 Annual";"2010 Annual";"2011 Annual";"2012 Annual";"2013 Annual";"2014 Annual";"2015 Annual";"2016 Annual";"2017 Annual";"2018 Annual";"2019 Annual";"2020 Annual"
"Palay";"PHILIPPINES";8539852.00;8971030.00;9458772.00;9319276.00;9673262.00;9128940.00;9434208.00;10538054.00;10540649.00;11283568.00;11268963.00;8554824.00;11786625.00;12389412.00;12954870.00;13270653.00;13499884.00;14496784.00;14603005.00;15326706.00;16240194.00;16815548.00;16266416.50;15772319.00;16684062.00;18032525.47;18439419.73;18967826.17;18149837.78;17627244.82;19276346.63;19066093.94;18814827.29;..
"Palay";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";162466.00;186443.00;163249.00;165585.00;152559.00;156472.00;166961.00;191208.00;193221.00;209480.00;218523.00;169968.00;221370.00;255820.00;314295.00;304355.00;300776.00;355877.00;354429.00;397340.00;436311.00;445156.00;431656.00;400415.00;428949.00;453461.00;460170.00;452609.00;400911.00;382848.00;445006.00;391104.60;418320.58;..
"Palay";"..REGION I (ILOCOS REGION)";682581.00;841311.00;785823.00;847691.00;898584.00;826121.00;838253.00;917470.00;886517.00;992606.00;1076753.00;854117.00;1081888.00;1207890.00;1227227.00;1222292.00;1304374.00;1317574.00;1382877.00;1597168.00;1642301.00;1691629.00;1351715.00;1558373.00;1602814.00;1737695.00;1750057.00;1796229.00;1777121.00;1805126.00;1872052.00;1720043.52;1851265.37;..
"Palay";"..REGION II (CAGAYAN VALLEY)";996606.00;1091307.00;1094869.00;1164758.00;1033615.00;1088680.00;891678.00;1237259.00;1349258.00;1441343.00;1544728.00;1109372.00;1708809.00;1785137.00;1810196.00;1707575.00;1666484.00;1892311.00;1848849.00;1953755.00;2025245.00;2080240.00;2077036.00;1745722.00;2144766.00;2425536.47;2423200.33;2514934.17;2489647.28;2332654.04;2656978.51;2379771.42;2644702.34;..
"Palay";"..REGION III (CENTRAL LUZON)";1569191.00;1308126.00;1718402.00;1963919.00;1796659.00;1788259.00;1660423.00;1941049.00;1822089.00;1951153.00;2073590.00;1370260.00;1912735.00;1960232.00;2173837.00;2240379.00;2395461.00;2466441.00;2545853.00;2677633.00;2942113.00;3014347.00;2805467.00;2958415.00;2616083.00;3220607.00;3409468.00;3765150.00;3304310.00;3342883.12;3634807.00;3615115.12;3730180.33;..
"Palay";"..REGION IV-A (CALABARZON)";383421.00;413701.00;463383.00;421188.00;448065.00;455982.00;448269.00;411898.00;334811.00;394128.00;378471.00;319550.00;427915.00;376439.00;396000.00;377513.00;376534.00;402066.00;392323.00;358364.00;391418.00;428085.00;383035.00;390189.00;399193.00;389272.00;411785.00;405582.00;392907.00;407124.00;410833.00;420233.47;380781.96;..
"Palay";"..MIMAROPA REGION";454136.00;547817.00;531576.00;483109.00;621852.00;571586.00;575921.00;639032.00;593285.00;603563.00;647312.00;508694.00;709481.00;758719.00;745969.00;799627.00;818182.00;799768.00;785309.00;829867.00;877180.00;863215.00;930674.00;857532.00;981669.00;1030606.00;1033942.00;1081878.00;1081833.00;1080408.00;1159830.00;1230988.37;1195197.00;..
"Palay";"..REGION V (BICOL REGION)";581404.00;708817.00;668007.00;686998.00;744223.00;715459.00;665129.00;689570.00;598618.00;660966.00;687890.00;493493.00;720247.00;672293.00;697287.00;756808.00;761048.00;943214.00;981918.00;888772.00;991430.00;997581.00;1045501.00;1081078.00;1070917.00;1173307.00;1243241.40;1258147.00;1264448.00;1275492.00;1335077.00;1350438.32;1192903.96;..
"Palay";"..REGION VI (WESTERN VISAYAS)";1178375.00;1121945.00;1081546.00;886732.00;1183887.00;1238703.00;1484934.00;1442269.00;1291275.00;1474430.00;1327668.00;1044462.00;1531728.00;1608337.00;1589531.00;1732602.00;1767530.00;1935869.00;1800820.00;1987224.00;1992426.00;2117598.00;2205071.00;1789693.00;2245038.00;2292201.00;2090790.00;2052574.00;2056824.00;1896230.00;2230836.72;2232292.75;2077790.03;..
"Palay";"..REGION VII (CENTRAL VISAYAS)";149835.00;150643.00;230924.00;182940.00;207700.00;163693.00;198719.00;208451.00;230759.00;232067.00;236900.00;116443.00;208364.00;215192.00;225192.00;218724.00;193287.00;228896.00;208838.00;245131.00;251802.00;311801.00;276818.00;270449.00;322862.00;327120.00;347697.00;338822.00;336194.00;231982.00;325209.00;309459.00;223086.50;..
"Palay";"..REGION VIII (EASTERN VISAYAS)";379343.00;407077.00;379403.00;337459.00;382954.00;362085.00;388893.00;397780.00;446057.00;435790.00;457260.00;362008.00;506397.00;517558.00;565895.00;622435.00;674096.00;721932.00;788857.00;830287.00;948827.00;1030621.00;952220.00;964145.00;984017.00;994972.00;989794.00;982596.00;955709.00;954844.36;945565.00;946876.96;900245.55;..
"Palay";"..REGION IX (ZAMBOANGA PENINSULA)";306577.00;337773.00;361003.00;342690.00;379652.00;304388.00;370187.00;323455.00;342836.00;377331.00;355316.00;261285.00;322164.00;443598.00;431080.00;505117.00;524077.00;546925.00;562557.00;514201.00;553759.00;551310.00;565764.00;552645.00;622203.00;618831.00;639113.00;656777.00;661775.00;581110.90;700590.00;728673.43;677436.78;..
"Palay";"..REGION X (NORTHERN MINDANAO)";293273.00;315944.00;397709.00;365544.00;414515.00;354240.00;426847.00;499677.00;510704.00;452820.00;411999.00;427161.00;479557.00;499605.00;531776.00;532508.00;489872.00;465872.00;459010.00;461289.00;501892.00;551246.00;583297.00;586442.00;610990.00;637348.00;674903.00;713764.00;725120.00;711284.00;745733.40;761400.32;761138.59;..
"Palay";"..REGION XI (DAVAO REGION)";403233.00;436066.00;476235.00;515745.00;460812.00;302520.00;332353.00;366764.00;381470.00;388765.00;367161.00;339333.00;386312.00;388183.00;402441.00;440152.00;459444.00;480371.00;470086.00;476411.00;427184.00;418954.00;423825.00;402811.00;416543.00;448703.00;421692.00;452267.00;441868.00;417948.00;433665.00;488104.68;450368.60;..
"Palay";"..REGION XII (SOCCSKSARGEN)";652999.00;682401.00;678763.00;517660.00;543709.00;499544.00;567238.00;690369.00;827550.00;987546.00;897877.00;712982.00;940964.00;1044794.00;1063220.00;1060916.00;1025035.00;1097135.00;1090105.00;1146220.00;1186688.00;1234757.00;1229040.00;1185196.00;1244148.00;1270901.00;1347646.00;1364849.00;1291644.00;1200642.00;1319505.00;1343124.70;1187279.31;..
"Palay";"..REGION XIII (CARAGA)";186314.00;198585.00;200995.00;225917.00;279458.00;172450.00;243041.00;251049.00;402359.00;349697.00;280970.00;239949.00;280209.00;308066.00;336365.00;327070.00;344706.00;351629.00;385963.00;408774.00;455838.00;447317.00;425550.50;405871.00;416997.00;469205.00;583838.00;574499.00;481311.50;462182.00;482675.00;510070.72;449369.83;..
"Palay";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO";160098.00;223074.00;226885.00;211341.00;125018.00;128758.00;175362.00;330754.00;329840.00;331883.00;306545.00;225747.00;348485.00;347549.00;444559.00;422580.00;398978.00;490904.00;545211.00;554270.00;615780.00;631691.00;579747.00;623343.00;576873.00;542760.00;612083.00;557149.00;488215.00;544486.40;577984.00;638396.56;674760.55;..
"Corn";"PHILIPPINES";4278119.00;4427951.00;4522195.00;4853891.00;4655026.00;4618854.00;4797977.00;4519246.00;4128510.00;4151332.00;4332417.00;3823184.00;4584593.00;4511104.00;4525012.00;4319262.00;4615625.00;5413386.00;5253160.00;6082109.00;6736940.00;6928225.00;7034033.00;6376796.00;6971221.00;7407068.35;7377293.30;7770602.74;7518755.72;7218816.55;7914908.49;7771918.63;7978844.55;..
"Corn";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";22088.00;28177.00;24524.00;25055.00;20757.00;30736.00;28407.00;33054.00;35774.00;34533.00;41910.00;40298.00;67005.00;72415.00;93552.00;93611.00;84162.00;106282.00;130464.00;160109.00;175582.00;196421.00;201773.00;172195.00;218788.00;225135.00;242074.00;244576.00;237823.00;199355.00;242850.00;207439.20;232350.58;..
"Corn";"..REGION I (ILOCOS REGION)";63830.00;67792.00;66884.00;87933.00;96781.00;65421.00;73562.00;108555.00;134511.00;162610.00;199729.00;214469.00;180706.00;173446.00;182666.00;182061.00;196679.00;223855.00;300184.00;320167.00;335575.00;363662.00;351103.00;358445.00;387882.00;434720.00;447503.00;476740.79;490943.00;508024.00;556462.00;560885.00;574852.00;..
"Corn";"..REGION II (CAGAYAN VALLEY)";398517.00;438167.00;448692.00;550840.00;465795.00;648088.00;443321.00;506378.00;604870.00;466228.00;669821.00;571208.00;1029863.00;951904.00;907177.00;832411.00;824053.00;1198394.00;769506.00;1219382.00;1281309.00;1476879.00;1598198.00;1263614.00;1601687.00;1875622.97;1713891.30;1856714.99;1801194.10;1678812.77;1837480.34;1625325.36;1866918.34;..
"Corn";"..REGION III (CENTRAL LUZON)";9422.00;11866.00;13090.00;17336.00;19402.00;17118.00;21821.00;26850.00;37111.00;52805.00;70974.00;117739.00;77459.00;77298.00;114065.00;122546.00;143619.00;147230.00;182333.00;182763.00;198590.00;225915.00;217245.00;197890.00;188494.00;210574.00;227765.00;240870.00;271319.00;259546.28;258746.00;271944.50;284714.54;..
"Corn";"..REGION IV-A (CALABARZON)";209309.00;199287.00;182517.00;176215.00;147923.00;135540.00;45741.00;48392.00;46368.00;47215.00;44452.00;39060.00;40821.00;41308.00;42297.00;41309.00;42772.00;53034.00;64102.00;53412.00;66249.00;60319.00;51949.00;60209.00;57557.00;58657.00;75165.00;74328.96;64823.00;96821.00;92762.15;91418.06;69786.67;..
"Corn";"..MIMAROPA REGION";38660.00;35784.00;39460.00;43381.00;63231.00;59707.00;60886.00;82893.00;72210.00;63639.00;67137.00;27311.00;55812.00;56526.00;58755.00;62005.00;59359.00;67564.00;94161.00;107559.00;114715.00;110088.00;103906.00;67712.00;84173.00;87223.20;104678.00;107723.00;125492.00;114604.00;121098.00;130146.41;106939.80;..
"Corn";"..REGION V (BICOL REGION)";121415.00;138093.00;127021.00;150317.00;150728.00;136423.00;129219.00;121118.00;114611.00;101482.00;99157.00;75083.00;83541.00;62787.00;62842.00;73963.00;66361.00;81285.00;118115.00;142264.00;195826.00;202675.00;197116.00;174479.00;215025.00;230545.00;258115.00;285647.00;243908.00;259375.00;287005.00;279731.94;248242.62;..
"Corn";"..REGION VI (WESTERN VISAYAS)";61342.00;59537.00;45222.00;34353.00;40739.00;54840.00;69008.00;72780.00;57600.00;72119.00;80652.00;77619.00;68510.00;80340.00;75540.00;87065.00;128728.00;138205.00;193736.00;257589.00;314507.00;350259.00;272844.00;247997.00;309915.00;330782.00;345527.00;368404.00;350391.00;283671.45;301286.00;310838.81;313974.95;..
"Corn";"..REGION VII (CENTRAL VISAYAS)";269177.00;286041.00;280147.00;296420.00;237569.00;201078.00;169471.00;172336.00;148743.00;159042.00;142908.00;141188.00;138618.00;137536.00;154011.00;166960.00;192061.00;183995.00;188525.00;180983.00;199420.00;175260.00;186479.00;178413.00;177297.00;172138.00;173225.00;164197.00;150051.00;156729.00;146470.00;127602.00;105584.25;..
"Corn";"..REGION VIII (EASTERN VISAYAS)";216290.00;219455.00;217190.00;220442.00;216893.00;143391.00;120318.00;60585.00;47198.00;43156.00;44307.00;33349.00;45813.00;46306.00;47525.00;49651.00;51835.00;59906.00;68416.00;76162.00;88252.00;96594.00;94821.00;90215.00;83992.00;87333.18;89327.00;88162.00;91145.00;81603.00;73481.00;74197.26;74220.40;..
"Corn";"..REGION IX (ZAMBOANGA PENINSULA)";191199.00;216181.00;218850.00;240786.00;233243.00;205093.00;209363.00;193060.00;195621.00;191861.00;182922.00;196722.00;122306.00;123233.00;134309.00;135072.00;176287.00;199631.00;223208.00;204391.00;219679.00;181809.00;177248.00;195349.00;200091.00;211331.00;207787.00;223342.00;220180.00;258951.24;234455.00;258909.87;184636.71;..
"Corn";"..REGION X (NORTHERN MINDANAO)";340675.00;390491.00;479901.00;470623.00;511199.00;513613.00;797854.00;817882.00;814867.00;816424.00;875027.00;840997.00;776819.00;777828.00;798733.00;701211.00;817182.00;927689.00;938227.00;964327.00;1048344.00;1127564.00;1170624.00;1153239.00;1212208.00;1228754.00;1185036.00;1196542.00;1216301.62;1223116.09;1287303.00;1289538.00;1312925.80;..
"Corn";"..REGION XI (DAVAO REGION)";259560.00;257653.00;253418.00;266914.00;235010.00;207815.00;220606.00;155433.00;160109.00;150413.00;144737.00;131940.00;145814.00;151307.00;148406.00;181947.00;214344.00;247781.00;293413.00;343907.00;354247.00;286410.00;225078.00;202354.00;191213.00;198627.00;227013.00;280293.00;224100.00;219089.00;256735.00;274674.71;244810.36;..
"Corn";"..REGION XII (SOCCSKSARGEN)";1588215.00;1564072.00;1611563.00;1728958.00;1672407.00;1613553.00;1809734.00;1437949.00;1039054.00;1117688.00;959380.00;777732.00;1028086.00;990300.00;919042.00;885055.00;870124.00;1025312.00;959286.00;1087843.00;1123584.00;1117781.00;1146629.00;1064448.00;1170554.00;1201331.00;1305607.00;1338065.00;1239275.00;1144010.00;1257177.00;1231074.00;1108187.29;..
"Corn";"..REGION XIII (CARAGA)";70425.00;74615.00;72842.00;81406.00;75224.00;120870.00;101838.00;58350.00;55371.00;45433.00;49875.00;71575.00;37434.00;70959.00;67747.00;68043.00;74545.00;95260.00;98595.00;86434.00;126037.00;99916.00;88591.00;94571.00;75684.00;89521.00;107476.00;125406.00;118774.00;144528.86;119980.00;135626.55;135727.21;..
"Corn";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO";417995.00;440740.00;440874.00;462912.00;468125.00;465568.00;496828.00;623631.00;564492.00;626684.00;659429.00;466894.00;685986.00;697611.00;718345.00;636352.00;673514.00;657963.00;630889.00;694817.00;895024.00;856673.00;950429.00;855666.00;796661.00;764774.00;667104.00;699591.00;673036.00;590579.86;841618.00;902566.96;1114973.03;..
