REGION,Scope,1972-1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Philippines,5441438,70178,44081,142079,118092,191903,293219,267381,411960,433678,289324,300195,210126,137358,132069,110478,104261,111722,97795,104069,131069,125177,134040.71,146273.56,65796.96,118476.94,120283.81,119441.24,125561.46,103297.72,35014.93,28635.7,34566.81,28501.18,32240.79,6080.09
CAR,105320,51,433,116,191,293,1131,5106,3130,7704,7133,8551,23917,7957,3399,2753,2925,2796,2306,1574,3005,2306,3340.12,3755.9,1149.32,2654.3,1912.73,1207.81,973.89,698.56,178.94,44.67,253.96,196.35,165.12,35.88
Ilocos Region,144855,279,1175,10728,4882,5594,5792,9420,14861,21743,18133,15187,2802,1025,927,903,697,2440,2382,2617,3001,3102,4875.87,4868.05,1279.11,2192.98,228.34,564.72,632.37,357.52,201.48,291.93,478.22,258.72,30.15,-
Cagayan Valley ,422939,14785,12648,9880,13589,18847,29868,23787,46544,48846,23196,14435,8246,10547,9306,5794,5130,5948,4762,3824,7869,7367,7850.22,7650.64,7535.01,6973.2,2064.95,5598.03,5583.12,2638.59,1390.02,1060.58,882.89,1170.97,1102.46,154.07
Central Luzon,455787,12431,5915,33797,21228,20119,20481,34217,34890,47069,41025,31064,17406,10804,10726,8587,6966,6889,5922,6153,5965,5430,5419.12,5838.61,5650.3,5901.29,4450.33,5391.64,9068.22,4664.17,2592.07,1757.21,2351.41,2905.35,1839.81,525.51
Calabarzon,219723,6158,718,3248,5624,7091,18860,10416,13835,10994,8392,11013,7232,6163,5866,4507,3261,5077,4563,5058,4476,4746,6397.6,5817.43,3364.44,5614.31,6339.38,6391.56,5058.3,6746.53,3076.52,2197.5,1178.01,1517.21,1551.25,351.8
MIMAROPA,191929,94,70,2951,5869,15231,12960,8821,8167,13683,10922,16695,8881,7266,6002,5950,5055,3931,4064,3628,5838,5106,6146.05,6170.62,2215.24,4968.4,4613.44,4714.61,4095.09,1531.35,965.6,642.74,916.8,628.84,348.43,44.15
Bicol,408479,4254,11645,9783,12362,6468,12909,13082,24445,19447,14166,17658,18333,14883,12576,7953,9874,11107,8083,5568,10230,13241,14245.26,15545.78,3660.64,8705.81,8009.88,2948.05,6226.01,4757.54,2520.01,2388.54,2998.98,2031.84,4507.67,951.76
Western Visayas,564308,4594,3098,6999,7403,8538,26749,35094,48318,20582,14151,16331,27463,19721,13815,10084,12419,15077,15040,15181,8526,13366,14651.67,9478.02,6916.37,6708.85,4841.74,7494.94,8389.89,7206.15,7371.31,5075.97,6692.85,6247.18,6234.03,1576.94
Cenral Visayas,203273,236,954,2607,2100,2976,6676,7736,13525,11386,7982,11762,8160,7870,5032,4956,5988,6046,6178,4298,7952,8098,10008.63,10021.78,4653.19,6434.89,12071.31,5945.18,2237.92,2339.89,1741.35,1456.52,1094.51,585.27,1114.02,259.05
Eastern Visayas,496733,579,432,5529,8285,8992,27641,13853,37937,66210,17005,26091,22231,9997,17775,19383,13283,12004,14147,16763,19267,17117,16438.52,21427.15,4277.38,6648.86,5651.06,965.48,635.32,525.7,1460.9,1300.45,1858.23,2718.89,3279.92,405.66
Zamboanga Peninsula,237237,77,1084,2545,2373,6822,18088,35843,26011,29585,15610,10239,10078,4924,3930,3155,3045,3216,2833,2703,3496,5060,6133.98,6900.08,3262,5655.53,7100.63,3203.81,2027.08,2558.95,990.53,864.44,752.27,737.4,657.57,48.25
Northern Mindanao ,365511,6520,2402,15073,4659,37700,26774,17244,21427,28950,20159,16313,11725,9641,8931,8414,6983,3797,4556,3979,5239,6150,7019.17,6377.8,3718.86,9642.81,7479.64,11890.18,14176.15,10626.77,1593.96,3524.65,2494.47,1373.67,1703.93,423.77
Davao Region,261097,8923,1685,4102,2162,7703,14129,15869,25346,24392,17665,13883,13972,7601,7257,7760,6616,5354,5321,5252,5481,7240,8571.59,8380.51,3419.4,6618.58,4316.48,4059.71,3684.85,1840.7,1165.14,1134.53,1224.18,661.11,425,101.98
SOCCKSSARGEN,739804,3297,652,18543,12113,22817,21658,11416,34589,48721,52879,47190,18920,13028,22652,16344,16295,14715,11431,14274,21024,15623,15834.99,20461.69,8754.62,24799.5,33624.62,45095.94,42125.48,45979.62,6927.22,4987.88,10437.82,5673.5,7853.38,1037.69
Caraga,294830,1769,1134,8561,4010,10638,24836,12672,45395,22046,12152,11634,6512,5422,3451,2935,3075,2856,3802,3632,7161,5233,6644.6,8282.8,2480.63,14029.22,8812.67,11701.78,14104.53,9203.46,1731.94,1875.62,951.68,1661.72,1375.5,163.57
ARMM,329612.26,6131,36,7617,11242,12074,24667,12805,13540,12320,8754,32149,4248,509,424,1000,2649,10469,2405,9565,12539,5992,463.32,5296.7,3460.45,928.42,8766.61,2267.79,6543.25,1622.22,1107.95,32.48,0.53,133.15,52.58,-